rpm,20,26,32,38,43,49,55,61,67,73,79,85,90,96,102,108
13500,27,28.3,28.5,28.8,31.6,36.3,36,38.7,38.4,39.1,44.8,46.5,47.8,49.5,51.9,51.3
12829,27.8,29.3,29.7,30.3,33.3,38,37.7,40.4,40.1,40.8,46.5,48.2,49.5,51.2,53.5,52.9
12158,24.8,26.7,27.4,28.3,35.3,40,39.7,42.4,42.1,44.4,45.1,48.8,51.1,52.8,53.7,49
11487,23.4,26.2,29.7,32.2,37.9,42.6,42.3,47,44.9,43.8,45.5,48.2,50.5,50.8,53,51.2
10816,24.4,27.3,29.7,33,34.7,38.4,40.1,43.8,44,46.8,46.1,48.8,50.6,50.1,49.3,55
10145,25,28.4,30.9,34.5,37.4,38.3,40.3,43,44.5,47.3,47.5,49.9,50,53.4,53.9,53.9
9474,25.7,28.7,30.8,33.8,37.2,38.8,41.3,43.5,43.2,46.3,46.9,48.6,48.9,52.9,53.5,53.6
8803,25.5,29.2,31,35,38,40.8,42.1,42.7,42.1,46.6,48.7,49.5,50.5,52.6,54,52.2
8132,24.7,28.6,31.7,36.5,40.8,41.8,41.4,41.9,42,47.4,49.1,52.7,54,55.2,55.3,51.6
7461,24.8,28.9,31.1,35.1,39.6,41.7,40.4,39.4,40.6,45.3,47.9,49.7,52.1,54,55.5,51.6
6789,24.5,28.5,32.7,34.4,37.9,40.6,42.8,44.6,42.2,47.2,48.2,50.2,50.1,49.2,48.8,52.8
6118,24.2,28.2,31.6,35.3,37.9,40.2,38.4,39.6,39.4,46,47.2,47.6,46.1,46.5,47,51
5447,24.8,28.3,31.8,35.3,37,39.6,38,38.5,38.7,44.5,45.6,45.7,47.8,47,47.4,51.5
4776,25.4,28.1,31.9,34.7,35.2,37.8,36.4,36.8,38.8,44.4,43.9,46.6,48.8,48.6,49.4,50.4
4105,25.2,28.1,30.6,33,31.8,36.1,36.3,38.4,39.5,44.3,44.4,46,49,51.1,51.1,50.2
3434,26.4,29.6,28.5,31.6,32.9,34.1,35.1,33.2,34.5,38.9,43.6,47.1,49.8,51.1,52.9,50.9
2763,25.5,28.6,28.3,32,30.3,31.3,31.4,30.1,30.1,36.1,38.6,43.2,46.8,49.9,49.9,50.9
2092,24.4,26.3,27.9,28.1,29.2,30.8,30.5,32.2,30.3,31,32.8,36.5,41.5,46.7,50.6,50.5
1421,24.6,25.4,25.9,26.6,27.4,28.4,30.4,30.6,30.2,31.1,32.9,35.9,39,45.6,48.3,45
750,23.3,24.9,20.4,25.2,28,32.9,32.8,33.4,34,35.7,38.5,39.1,41.2,42.8,45.8,47.4
